案件, 縣市, 鄉鎮市區, 同意票數, 不同意票數, 有效票數, 投票權人數
c07, 彰化縣, 伸港鄉, 13300, 2650, 15950, 30407
c07, 彰化縣, 北斗鎮, 11915, 2859, 14774, 27593
c07, 彰化縣, 和美鎮, 32445, 7579, 40024, 75286
c07, 彰化縣, 員林市, 43129, 10985, 54114, 102028
c07, 彰化縣, 埔心鄉, 13153, 3544, 16697, 29642
c07, 彰化縣, 埔鹽鄉, 12676, 2865, 15541, 28026
c07, 彰化縣, 埤頭鄉, 9819, 2728, 12547, 25677
c07, 彰化縣, 大城鄉, 4053, 953, 5006, 14713
c07, 彰化縣, 大村鄉, 13893, 3300, 17193, 31492
c07, 彰化縣, 彰化市, 85910, 21752, 107662, 190995
c07, 彰化縣, 永靖鄉, 13632, 3376, 17008, 31239
c07, 彰化縣, 溪州鄉, 9269, 2429, 11698, 25405
c07, 彰化縣, 溪湖鎮, 19566, 4696, 24262, 45147
c07, 彰化縣, 田中鎮, 14996, 3604, 18600, 35391
c07, 彰化縣, 田尾鄉, 10126, 2487, 12613, 23179
c07, 彰化縣, 社頭鄉, 15452, 3889, 19341, 36306
c07, 彰化縣, 福興鄉, 15627, 3996, 19623, 39745
c07, 彰化縣, 秀水鄉, 14290, 3569, 17859, 32394
c07, 彰化縣, 竹塘鄉, 4837, 1264, 6101, 12821
c07, 彰化縣, 線西鄉, 6361, 1367, 7728, 14065
c07, 彰化縣, 芬園鄉, 8346, 1976, 10322, 20408
c07, 彰化縣, 花壇鄉, 16953, 4059, 21012, 38924
c07, 彰化縣, 芳苑鄉, 10149, 2400, 12549, 29291
c07, 彰化縣, 鹿港鎮, 30219, 7228, 37447, 70505
c07, 新北市, , 1346167, 373414, 1719581, 3375513
c07, 新北市, 三峽區, 35739, 10099, 45838, 94291
c07, 新北市, 三芝區, 6999, 1927, 8926, 20119
c07, 新北市, 三重區, 128111, 39417, 167528, 329846
c07, 新北市, 中和區, 146208, 37338, 183546, 355978
c07, 新北市, 五股區, 27379, 7871, 35250, 72443
c07, 新北市, 八里區, 12684, 3493, 16177, 32970
c07, 新北市, 土城區, 78924, 22140, 101064, 200783
c07, 新北市, 坪林區, 2075, 535, 2610, 5891
c07, 新北市, 平溪區, 1428, 412, 1840, 4321
c07, 新北市, 新店區, 113797, 26226, 140023, 264053
c07, 新北市, 新莊區, 140045, 41204, 181249, 344981
c07, 新北市, 板橋區, 183642, 54962, 238604, 463411
c07, 新北市, 林口區, 36042, 9434, 45476, 86203
c07, 新北市, 樹林區, 60667, 17206, 77873, 152102
c07, 新北市, 永和區, 83228, 20414, 103642, 187798
c07, 新北市, 汐止區, 67547, 18065, 85612, 173831
c07, 新北市, 泰山區, 26020, 6947, 32967, 64252
c07, 新北市, 淡水區, 56960, 15439, 72399, 147272
c07, 新北市, 深坑區, 8193, 2201, 10394, 20624
c07, 新北市, 烏來區, 2072, 470, 2542, 5264
c07, 新北市, 瑞芳區, 12211, 3277, 15488, 35036
c07, 新北市, 石碇區, 2358, 719, 3077, 6861
c07, 新北市, 石門區, 3899, 1018, 4917, 10528
c07, 新北市, 萬里區, 6883, 1811, 8694, 19297
c07, 新北市, 蘆洲區, 62988, 19193, 82181, 167457
c07, 新北市, 貢寮區, 3309, 1075, 4384, 11279
c07, 新北市, 金山區, 6853, 1860, 8713, 18978
c07, 新北市, 雙溪區, 2739, 737, 3476, 7999
c07, 新北市, 鶯歌區, 27167, 7924, 35091, 71645
c07, 新竹市, , 147391, 39438, 186829, 351775
c07, 新竹市, 北區, 50916, 13514, 64430, 123122
c07, 新竹市, 東區, 69070, 19030, 88100, 163757
c07, 新竹市, 香山區, 27405, 6894, 34299, 64896
c07, 新竹縣, , 191602, 45444, 237046, 445051
c07, 新竹縣, 五峰鄉, 1242, 331, 1573, 3997
c07, 新竹縣, 北埔鄉, 3535, 782, 4317, 8180
c07, 新竹縣, 寶山鄉, 5773, 1417, 7190, 12973
c07, 新竹縣, 尖石鄉, 2358, 565, 2923, 7364
c07, 新竹縣, 峨眉鄉, 2238, 570, 2808, 5068
c07, 新竹縣, 新埔鎮, 12327, 2899, 15226, 28894
c07, 新竹縣, 新豐鄉, 19499, 4612, 24111, 45790
c07, 新竹縣, 橫山鄉, 5073, 1166, 6239, 11346
c07, 新竹縣, 湖口鄉, 27505, 6227, 33732, 63511
c07, 新竹縣, 竹北市, 61066, 15029, 76095, 137129
c07, 新竹縣, 竹東鎮, 32641, 7500, 40141, 78794
c07, 新竹縣, 芎林鄉, 7631, 1895, 9526, 17293
c07, 新竹縣, 關西鎮, 10714, 2451, 13165, 24712
c07, 桃園市, , 697528, 173333, 870861, 1801823
c07, 桃園市, 中壢區, 134509, 31525, 166034, 334402
c07, 桃園市, 八德區, 62058, 15724, 77782, 165065
c07, 桃園市, 大園區, 26894, 7155, 34049, 73900
c07, 桃園市, 大溪區, 30058, 7843, 37901, 78285
c07, 桃園市, 平鎮區, 74739, 17335, 92074, 183560
c07, 桃園市, 復興區, 3740, 843, 4583, 9766
c07, 桃園市, 新屋區, 17090, 4471, 21561, 41461
c07, 桃園市, 桃園區, 135663, 36174, 171837, 359790
c07, 桃園市, 楊梅區, 54109, 12102, 66211, 137917
c07, 桃園市, 蘆竹區, 48141, 12964, 61105, 129252
c07, 桃園市, 觀音區, 20514, 5326, 25840, 55149
c07, 桃園市, 龍潭區, 42077, 9102, 51179, 101574
c07, 桃園市, 龜山區, 47936, 12769, 60705, 131702
c07, 澎湖縣, , 29508, 7117, 36625, 90405
c07, 澎湖縣, 七美鄉, 712, 180, 892, 3374
c07, 澎湖縣, 望安鄉, 1256, 302, 1558, 4628
c07, 澎湖縣, 湖西鄉, 3956, 930, 4886, 12741
c07, 澎湖縣, 白沙鄉, 2535, 688, 3223, 8625
c07, 澎湖縣, 西嶼鄉, 1641, 409, 2050, 7382
c07, 澎湖縣, 馬公市, 19408, 4608, 24016, 53655
c07, 臺中市, , 1013174, 234816, 1247990, 2295642
c07, 臺中市, 中區, 6132, 1541, 7673, 14696
c07, 臺中市, 北區, 53751, 12471, 66222, 124621
c07, 臺中市, 北屯區, 100833, 22423, 123256, 227720
c07, 臺中市, 南區, 48518, 11525, 60043, 103643
c07, 臺中市, 南屯區, 63052, 14504, 77556, 135448
c07, 臺中市, 后里區, 20022, 4396, 24418, 44962
c07, 臺中市, 和平區, 4505, 864, 5369, 9498
c07, 臺中市, 外埔區, 12116, 2667, 14783, 27059
c07, 臺中市, 大安區, 7288, 1691, 8979, 16520
c07, 臺中市, 大甲區, 27122, 6558, 33680, 63069
c07, 臺中市, 大肚區, 21090, 4776, 25866, 47457
c07, 臺中市, 大里區, 73521, 16988, 90509, 171769
c07, 臺中市, 大雅區, 33608, 7469, 41077, 77189
c07, 臺中市, 太平區, 66181, 14725, 80906, 157926
c07, 臺中市, 新社區, 8246, 1889, 10135, 20860
c07, 臺中市, 東勢區, 18958, 4311, 23269, 43181
c07, 臺中市, 東區, 28395, 6994, 35389, 64291
c07, 臺中市, 梧棲區, 20303, 4831, 25134, 47040
c07, 臺中市, 沙鹿區, 32234, 7425, 39659, 74207
c07, 臺中市, 清水區, 32206, 7100, 39306, 71528
c07, 臺中市, 潭子區, 39569, 8853, 48422, 89487
c07, 臺中市, 烏日區, 27379, 6443, 33822, 61705
