季度,股本,股價,營業收入,營業毛利,營業利益,業外損益,稅後淨利,ROE,ROA,EPS,BPS
6405,6.58,24.8,0.01,-0.23,-0.83,0.09,-0.68,-2.75,-2.73,-1.03,38.21
6409,8.77,1109,159,46.1,33.6,2.93,29.9,32.3,17.9,34.16,97.44
6411,9.92,70.4,18.5,7.48,1.93,0.59,2.41,4.11,3.2,2.46,49.79
6412,40.1,109,266,45.4,18.6,1.07,16.1,10.9,4.77,4.03,35.29
6414,13.8,305,1028,210,25.4,53,23.4,11.3,4.22,17.04,179.09
6415,9.71,317,134,69.5,14,4.14,16.7,4.81,4.21,4.31,90.35
6416,7.33,86.4,31.4,7.34,2.64,0.09,2.13,5.78,3.8,2.91,47.56
6417,4.23,98.7,11.8,3.66,1.89,-0.15,1.37,8.42,4.94,3.25,39.14
6418,3.45,32.8,5.88,1.22,0.27,-0.01,0.25,4.91,2.56,0.72,14.38
6419,1.32,55.3,3.51,0.93,0.42,0.23,0.56,15,8.71,4.29,29.13
6423,3,86.7,1.82,1.79,0.23,0.02,0.19,3.69,3.15,0.64,16.15
6425,4.86,50.8,9.29,2.45,-1.14,-0.34,-1.25,-10.1,-4.4,-2.58,22.37
6426,3.85,75.2,3.47,0.95,-0.33,-0.09,-0.42,-4.48,-4.03,-1.08,23.23
6431,9.74,16.2,2.63,0.47,-1.17,-0.23,-1.32,-24.7,-12.8,-1.44,6.27
6432,3.22,26.9,8.54,1.95,0.31,-0.28,0.04,0.42,0.27,0.11,25.28
6435,3.75,96.3,25.3,5.25,2.48,0.3,2.28,12.3,9.24,6.13,51.59
6438,8.22,171,48.5,11.5,4.12,-0.16,3.36,6.43,3.62,4.17,63.86
6441,5.33,27.6,2.13,-0.03,-1.85,-0.2,-2.01,-17,-11.3,-3.76,20.57
6442,7.6,702,75.3,43.5,17.3,-2.97,10.5,26.8,12.9,13.87,54.06
6443,51.3,15.7,14.5,-5.44,-7.73,-1.37,-9.76,-15.4,-10,-1.9,11.43
6446,34.2,514,108,96.1,33.7,-3.97,35.7,12.5,10.9,9.66,89.26
6449,9.19,142,32,10.9,5.87,-0.56,4.23,9.49,5.45,4.81,47.97
6451,10.7,155,54.6,7.88,-0.23,-0.13,-0.68,-0.73,-0.3,-0.64,55.07
6456,33.8,52.1,504,34.2,-1.69,4.32,-1.26,-0.43,-0.19,-0.37,85.27
6461,16.3,19,1.03,-0.63,-2.44,-0.15,-2.66,-29.5,-10.9,-1.8,6.06
6462,9.13,128,37.4,13.4,-11.3,-2.23,-10.3,-12.9,-7.87,-11.33,77.93
6464,12.5,79.5,32.8,16.6,8.88,-1.67,5.21,6.22,2.89,4.16,64.82
6465,4.71,15.9,1.33,0.51,-0.3,-0.05,-0.35,-8.14,-7.17,-0.75,8.83
6469,15,146,141,40,5.14,0.42,4.51,11.8,3.43,3.02,24.79
6470,3.77,44.2,15.8,2.75,1.43,-0.52,0.86,7.61,4.9,2.27,29.74
6472,12.4,759,142,60.8,27.4,17.3,26.5,17.5,6,21.34,108.95
6477,12.4,37,6.53,2.36,1.51,-1.11,0.15,0.75,0.31,0.12,25.45
6482,2.86,56.1,3.92,3.84,0.74,-0.03,0.45,11.4,8.54,1.59,14.35
6485,4.52,55.1,10.5,5.02,-0.32,0.06,-0.14,-0.78,-0.67,-0.32,40.02
6486,5.09,74.2,14.9,5.15,1.64,0.12,1.44,7.5,4.52,2.84,36.66
6488,47.8,370,461,109,62.6,3.52,51.1,5.65,2.32,10.68,187.77
6491,7.8,312,51.1,26.6,12.9,1.81,12,10.9,7.98,15.38,143.87
6492,8.97,36,0.01,0,-1.96,0.12,-1.84,-19.7,-18.9,-2.06,9.41
6494,3.16,35.2,8.57,2.06,-0.42,-0.11,-0.57,-5.49,-4.61,-1.8,30.59
6496,4.75,27.3,6.19,2.48,-1.38,-0.01,-1.44,-15.7,-9.78,-3.12,18.14
6498,4.72,112,9.08,4.38,2.87,0.08,2.03,17,10.5,4.61,30.38
6499,9.22,109,3.05,0.37,-5.62,-0.03,-5.31,-40.5,-33.3,-5.76,12.72
6504,7.26,54.3,49.1,5.96,1.2,-2.08,-1.56,-4.54,-1.56,-2.15,44.62
6505,953,39.6,4823,139,56.2,3.78,47.6,1.55,1.27,0.5,32.21
6506,8.24,15.9,14.4,2.34,0.99,-0.17,0.59,5.12,2.58,0.72,15.14
6508,8.65,26,12.4,2.81,0.84,-0.49,0.23,0.95,0.82,0.27,27.32
6509,19.7,33.1,37.8,12,6.35,-0.05,4.66,9.25,6.38,2.35,25.6
6510,3.28,1121,36.1,20,8.71,-0.02,7.12,8.5,7.55,21.73,258.49
6512,2.53,20.8,1.51,0.44,-0.13,0.04,-0.08,-2.26,-2.06,-0.33,14.48
6515,3.6,1357,56.2,26.3,15.9,-1.05,11.9,20.8,15.4,33.4,163.75
6516,5.63,67.8,3.77,2.08,0.34,0.3,0.5,4.82,4.01,0.89,17.59
6517,3.06,70.9,3.48,1.32,0.58,-0.33,0.2,3.02,2.59,0.65,20.94
6523,4.5,126,8.93,6.19,3.48,-0.09,2.63,18.1,14.6,5.84,32.14
6525,12.9,73.3,39.9,10.9,8.04,-0.5,5.65,12.7,8.62,4.38,33.79
6526,16.8,545,164,84.2,24.3,2.41,23.5,10.9,8.32,14,111.53
6527,2.55,86.7,6.82,2.38,1.33,-0.08,1.09,11.3,9.25,4.31,39.1
6530,3.38,59.9,2.46,1.13,0.6,-0.01,0.47,10.1,8.8,1.4,13.85
6531,8.13,312,38,17,8.27,-2.17,4.92,4.18,3.71,3.03,70.14
6532,3.74,64.8,5.09,1.81,1.22,-0.15,0.84,7.81,6.38,2.25,28.54
6533,5.07,286,10.2,10.2,-3.61,-0.8,-3.89,-8.3,-6.69,-7.68,89.96
6534,10.3,99.1,14.9,12.6,5.81,-0.72,4.2,15.9,11.5,4.09,25.51
6535,16.9,192,0.23,0.15,-2.9,0,-2.85,-16.4,-15,-1.71,9.45
6538,3.81,86.1,11.4,3.72,0.94,-0.19,0.55,2.77,1.8,1.47,49.01
6541,26.5,52.6,2.22,-1.97,-10.1,-0.68,-10.8,-31.3,-19.8,-4.53,22.66
6542,4.2,52.1,6.33,4.84,-0.13,-0.09,-0.19,-2.89,-2.36,-0.46,17.04
6546,6.68,79,17.5,4.06,1.81,-0.45,1.15,5.78,3.6,1.72,28.85
6547,32.9,40.2,4.66,2.58,-1.23,-0.21,-1.44,-3.85,-3.4,-0.44,10.97
6548,3.8,32.4,99.3,21.7,12.2,0.83,10.3,9.45,4.89,1.12,11.37
6550,77,37.9,0.35,-1.56,-21.5,-1.16,-22.5,-41.3,-26.2,-2.91,5.44
6552,8.3,26.7,11.4,-2.63,-3.9,0.25,-2.91,-11.6,-7.6,-3.5,27.96
6556,2.88,74.8,10.5,3.51,1.77,0.05,1.41,9.06,6.79,4.92,53.56
6558,9.38,51.1,8.28,1.69,-0.29,-0.16,-0.42,-2.85,-2.27,-0.45,14.99
6560,2.59,40.1,1.1,0.45,-0.18,-0.1,-0.23,-5.2,-4.64,-0.88,16.38
6561,7.8,424,30.2,16.1,11.9,-0.36,9.13,23.6,12.4,11.71,49.19
