季度,股本,股價,營業收入,營業毛利,營業利益,業外損益,稅後淨利,ROE,ROA,EPS,BPS
6890,24.9,252,290,46.8,27.4,2.77,22.8,9.96,7.38,9.16,88.94
6894,2.38,197,10.2,3.74,2.78,0,1.94,13.2,9.98,8.15,62.37
6895,3.41,236,5.69,1.99,1.1,0.02,0.89,8.69,7.17,2.61,30.23
6899,4.24,50.4,8.83,3.55,1.77,-0.29,1.11,6.01,4.9,2.65,43.8
6901,85.2,20.2,-10.9,-10.9,-12,0.4,-11.6,-11.8,-11.6,-1.36,10.83
6902,3.54,78.3,7.48,6.59,0.26,-0.12,0.08,1.45,0.72,0.23,18.43
6903,6.67,122,19.7,5.44,4.4,0.18,3.66,11.9,9.07,5.49,44.79
6904,1.85,123,6.8,2.13,1.39,-0.4,0.68,6.51,4.21,3.66,53.23
6906,3.35,122,2.29,1.96,0.18,0.03,0.18,2.26,1.87,0.56,21.15
6909,6.72,46.2,3.36,1.92,0.12,-0.09,0.03,0.3,0.26,0.04,15.02
6913,4.38,128,19.5,5.43,2.14,-0.14,1.49,10.1,6.33,3.41,33.92
6914,6.62,143,42.2,9.36,6.81,-0.73,4.89,14,5,7.38,53.56
6916,6.75,19.7,15.2,3.59,-0.6,-0.13,-0.66,-5.96,-2.67,-0.98,15.4
6918,3.46,97.5,6.21,4.32,1.58,0.03,1.3,12,9.65,4.05,36.22
6919,7.75,338,0.26,0.18,-5.87,1.54,-4.32,-4.53,-4.5,-0.28,6.03
6922,2.71,193,12.9,5.5,2.28,-0.26,1.56,15.9,8.2,5.79,36.97
6923,9.15,97.7,8.6,3.23,2.62,-0.24,1.91,7.26,4.5,2.08,27.54
6924,2.08,67.8,12.7,2.68,0.95,-0.03,0.67,12.1,6.33,3.23,25.1
6925,2,148,1.47,1.18,0.44,0.03,0.4,12.1,10.4,2.12,19.4
6928,8.6,61.5,16.3,4.12,-0.3,0.26,-0.08,-0.39,-0.3,-0.1,24.2
6929,4.5,32.3,24,8.07,-0.4,-0.06,-0.45,-4.14,-1.49,-1.01,23.88
6931,6.62,50.7,8.25,1.01,0.35,0.29,0.51,5.71,2.29,0.78,16.8
6933,4.24,188,52.4,6.22,1.69,0.36,1.56,7.18,4.06,3.69,50.86
6936,7.28,36.5,10.4,3.28,1.08,-0.03,0.84,6.86,5.53,1.19,17.95
6937,6.76,220,15.2,5.95,0.84,0.67,1.3,3.75,3.01,1.92,49.8
6944,7.63,499,116,25.4,21.2,0.29,16.1,27.7,13.8,22.26,93.86
6949,5.87,307,0.25,-0.06,-2.93,0.08,-2.72,-22.7,-17,-4.65,16.29
6951,4.6,75.3,6.11,3.58,2.42,0.03,1.96,18,12.7,4.26,23.87
6952,6.83,47.8,14,2.38,-0.02,-0.96,-1.24,-5.87,-3.36,-1.72,20.57
6953,3,183,9.29,4.28,1.85,0.08,1.66,10.6,6.2,5.53,51.74
6955,2.48,184,2.24,1.75,0.74,0.01,0.73,12.3,11.3,2.93,24.65
6957,5.55,166,26.7,9.92,3.33,0.09,2.98,11.4,6.57,5.41,40.6
6958,40.3,20.4,82.5,25.5,-12.1,0.71,-6.88,-6.93,-0.8,-1.71,22.95
6962,49.2,47.4,144,43.6,17.3,-0.32,12.3,6.26,4.56,2.6,40.19
6965,15.6,101,167,19.4,3.72,2.21,4.47,4.19,2.57,2.94,73.81
6967,2.49,54.3,10.2,2.7,1.01,0.04,0.71,8.72,5.75,2.87,32.09
6968,4.94,63.7,23.6,9.77,1,-0.15,0.75,6.76,2.48,1.64,25.55
6969,5.49,42.7,2.3,0.71,0.06,-0.16,-0.09,-2.83,-0.79,-0.24,8.36
6971,3.87,-,16.7,1.68,1.07,-0.35,0.56,6.97,2.12,1.59,22.5
6982,4.06,66.2,12.1,3.12,0.45,-0.16,0.26,2.75,0.98,0.64,22.72
6988,4.76,17.7,6.01,1.77,-0.07,-0.02,-0.1,-1.24,-0.77,-0.21,15.86
6994,7.38,96.1,15.3,2.84,1.64,-0.53,0.8,4.79,1.62,1.13,30.14
6996,4.2,145,19,7.47,3.31,0.22,3.22,12.3,9.66,7.74,60.47
6997,2.21,103,32.1,3.21,0.85,0.05,0.7,11.6,4.3,3.18,26.22
7402,3.52,110,4.1,1.4,0.22,-0.2,0.02,0.27,0.18,0.05,18.38
7547,3.28,112,2.48,1.45,0.78,0.03,0.64,8.18,7.38,2.13,28.78
7556,2.73,175,5.55,2.14,1.23,0.48,1.47,12.5,9.18,5.54,46.56
7584,1.65,54.1,7.41,3.05,0.11,-0.2,-0.12,-2.43,-1.49,-0.75,29.45
7610,4.86,105,8.89,1.77,1.03,-0.1,0.75,6.75,3.22,1.75,29.42
7631,1.98,134,6.34,1.82,0.71,0.02,0.59,9.17,4.91,3.07,38.67
7642,3.02,112,6.56,1.74,1.05,-0.07,0.78,8.84,5.61,2.77,32.75
7703,3.47,203,17.8,4.13,2.79,0.03,2.34,11.4,8.56,6.74,59.63
7704,3.37,49.3,5.02,1.62,0.51,-0.02,0.45,3.93,3.41,1.35,33.4
7705,6.61,46.6,48.6,17.2,1.24,-0.07,0.89,5.6,2.4,1.35,22.87
7708,2.55,97,20.2,9.79,1.66,0.01,1.29,13,6.97,5.05,39.19
7709,3.91,38.9,6.5,1.79,0.46,0.04,0.35,2.26,1.54,0.91,41.63
7712,3.26,129,9.96,3.27,1.55,-0.06,1.16,6.29,4.43,3.57,56.57
7713,4.55,68.6,8.14,2.69,1.87,0.01,1.51,14.7,6.98,3.37,25.2
7714,2.1,117,13,2.43,1.09,0.05,0.91,22.2,11.2,4.34,24.45
7715,3.37,37.9,9.95,2.09,0.92,0.06,0.82,9.47,4.95,2.48,28.01
7716,2,-,15.3,3.13,0.57,-0.01,0.39,9.42,6.08,1.96,20.28
7718,4.64,46.9,18.2,3.12,1.53,-0.14,1.06,7.52,5.38,2.36,32.64
7721,5.54,65,3.68,2.54,0.24,0.06,0.21,1.81,1.46,0.4,23.16
7722,6.8,663,56.9,19.1,4.96,0.73,4.12,3.93,2.26,6.06,156.48
7723,5.06,41.4,37.5,17.2,-0.56,-1.22,-1.39,-13.2,-3.06,-2.86,21.19
7728,1.39,293,2.27,1.44,0.27,0.04,0.25,4.82,3.77,1.85,51.29
7730,3.46,-,3.56,1.56,0.48,-0.11,0.29,3.88,2.66,0.84,21.65
7732,6.47,37.8,8.77,2.62,1.19,-0.16,0.85,4.87,4.06,1.3,27.89
7734,2.8,1118,18.1,12.1,9.67,-0.24,7.25,15.5,12.4,26.59,224.75
7736,7.6,96.1,12.8,3.8,2.35,0.58,2.51,7.94,6.54,3.4,46.34
7738,2.49,-,4.24,2.33,3.8,-0.1,2.88,21.2,18.2,11.58,58.51
7740,5.32,231,11.6,2.96,1.12,0.8,1.65,13.6,2.46,3.22,22.3
7743,3.65,27.2,5.26,1.55,0.38,-0.12,0.2,3.35,2.07,0.58,17.6
7747,2.74,137,11.7,1.76,0.91,0.03,0.75,10.7,7.57,3.01,34.65
7749,4.65,581,11.4,8.91,4.45,0.38,3.93,16.3,14.7,9.12,76.98
7750,7.18,912,103,46.9,19.4,0.02,14.5,19,11.3,22.8,143.38
7751,2.69,506,13.1,7.28,4.52,-0.02,3.54,20.3,12.5,14.3,85.53
7753,2.5,54.8,6.72,2.27,0.95,-0.01,0.73,17,8.74,3.23,21.05
7757,2.19,-,17,9.2,1.85,-0.04,1.48,18.1,9.12,6.76,35.6
7765,4.07,316,14.7,6.82,3.88,0.07,3.17,22,14.7,8.52,48.38
7780,8.1,209,12.4,8.04,1.64,1,2.13,6.41,5.93,3.44,66.03
7782,2.12,-,5.2,3.58,0.44,-0.05,0.31,7.33,4.03,1.48,19.1
7788,7.26,-,47.6,13,4.04,-1.77,1.58,3.22,1.67,2.18,67.49
7791,7,-,20.7,7.2,3.22,1.15,3.76,12.6,9.41,5.38,40.53
7799,15.6,721,0.06,-0.17,-4.06,0.07,-3.99,-5.88,-5.82,-2.82,76.87
8011,16.6,21.7,15.6,4,2.13,-0.01,1.65,5.09,2.77,1,19.26
8016,12,207,137,42,14.7,2.47,12.3,9.71,7.25,10.3,97.49
8021,14.2,75,30.7,8.93,3.99,0.06,2.4,5.41,3.8,1.69,31.82
8024,4.52,13.9,1.23,0.2,-0.86,-0.03,-0.89,-18,-16.7,-1.97,9.91
8027,10.7,84.5,10.9,3.8,-1.44,-0.38,-1.67,-6.37,-4.15,-1.59,24.16
8028,17.4,152,32.9,11.3,7.08,-0.93,5.32,12,5.24,3.08,27.15
8032,5.18,44.5,26,3.6,1.08,-0.07,0.75,3.19,2.18,1.45,44.75
8033,15.3,117,10.8,4.08,0.02,1.13,1.11,6.14,3.86,0.73,12.33
8034,5.66,21.2,3.72,1.75,0.77,0.05,0.61,8.89,7.43,1.09,12.45
8038,6.23,47.3,4.11,1.39,0.41,0.05,0.5,9.38,3.99,0.81,7.3
8039,25.7,52.6,78.6,15,3.84,-0.09,3.42,3.12,2.29,1.33,40.3
8040,9.64,58.3,5.06,2.07,-0.65,0.21,-0.43,-1.75,-1.66,-0.45,25.5
8042,12.9,31.9,27.7,5.17,1,-0.4,0.31,0.77,0.35,0.24,27.82
8043,7.99,27.4,36.1,1.47,-0.05,0.1,0.07,0.25,0.16,0.08,32.6
8044,20.6,33.1,259,35.2,-2.63,0.1,-5.04,-4.54,-1.26,-2.55,34.68
8045,9.5,97.4,9.99,3.44,0.64,-0.09,0.41,1.95,1.49,0.43,20.83
8046,64.6,178,290,22.5,10.2,-0.83,7.45,1.66,1.22,1.15,68.73
8047,4.17,14.5,3.28,1.14,-0.24,0.1,-0.15,-3.57,-2.96,-0.36,9.55
8048,5.77,41.2,7.21,2.46,1.11,0.08,0.97,8.47,6.85,1.67,19.6
8049,11.8,26.4,9.64,2.72,1.47,0.34,1.5,6.69,6.01,1.27,19.17
8050,20.5,53.8,42.9,9.45,0.85,0.16,1.94,0.78,0.51,1.33,36.67
8054,10.6,109,18.9,5.2,-4.58,2.73,-2.5,-4.14,-2.55,-2.42,25.79
8059,19.4,29.7,45.2,3.09,-3.54,-0.98,-4.67,-33,-8.18,-2.41,5.48
8064,16.5,40.9,17.9,3.95,0.14,0.03,-0.26,-0.1,-0.06,-0.16,17.97
8066,2.96,21.5,33.4,3.39,-0.49,-0.38,-0.7,-10.8,-4.38,-2.35,15.41
8067,2.07,13,0.83,0.34,-0.2,0.21,0,0.24,0.1,0.02,7.29
8068,8.08,20.6,5.74,0.3,-0.74,1.65,1.01,8.26,5.57,1.25,13.01
8069,115,236,291,164,99.9,14,94,15.1,9.67,8.17,56.61
8070,7.26,40.3,142,26.5,16,2.44,10.5,6.85,3.92,1.49,25.56
8071,6.01,18.2,14.8,2.45,-0.54,0.08,-0.37,-4.29,-1.68,-0.65,12.26
8072,8,39.7,9.06,1.56,0.4,0.14,0.45,2.23,2.01,0.57,28.12
8074,8.1,28.6,9.87,2.14,0.87,-0.05,0.66,4.51,2.32,0.81,18.91
8076,29.2,25.9,13.8,4.7,0.51,0.01,0.04,0.12,0.08,0.01,13.64
8077,2.19,42.4,7.66,1.99,1,-0.33,0.63,15,2.26,2.87,19.6
8080,6.32,29.4,1.5,0.32,0.07,0.06,0.13,2.65,2.13,0.2,7.63
8081,8.62,225,66.2,26,13.5,-0.04,11.2,12.6,10.2,13.05,89.11
8083,3.51,152,10.9,4.43,3.32,-0.21,2.47,20.9,14.4,7.04,32.14
8084,6.95,39.8,4.15,1.79,-0.47,-0.22,-0.72,-11.9,-5.61,-1.03,7.86
8085,14,19.2,4.84,0.32,-0.59,0.07,-0.54,-3.43,-1.77,-0.39,10.33
8086,19.7,102,28.6,7.08,4.59,0.15,3.99,5.06,4.05,2.03,40.57
8087,3.9,37.7,2.18,0.28,-0.44,0,-0.44,-5.49,-2.76,-1.16,20.07
8088,6.09,32.8,10.3,0.69,0.24,-0.02,0.17,1.7,1.52,0.28,16.62
8089,6.6,42,6.83,2.8,-0.67,-0.31,-1.22,-9.32,-6.16,-1.85,18.01
8091,5.28,108,15.8,5.4,2.76,-0.09,2.06,5.63,4.11,3.96,66.55
8092,5.72,17.4,2.81,0.5,-0.13,0,-0.13,-2.28,-1.44,-0.22,9.5
8093,6.09,16.2,1.28,0.37,-0.62,0.36,-0.28,-9.15,-5.98,-0.45,4.66
8096,14.9,41.8,269,9.86,3.38,-1.76,0.86,3.3,1.01,0.58,17.23
8097,6.38,68.2,2.23,0.53,-0.44,-0.11,-0.54,-4.14,-3.59,-0.86,19.44
8099,10,75.3,34.9,7.15,1.85,0.04,1.52,9.84,4.52,1.52,15.89
8101,3.85,14.9,3.06,0.59,-0.68,0.04,-0.81,-37.7,-12.3,-2.53,5.38
8103,9.23,50,24.6,9.06,3.46,-0.05,2.22,6.02,3.99,2.47,38.27
8104,9.17,40.1,30.2,4.75,1.65,-0.72,0.13,1.99,0.77,0.14,27.94
8105,44.2,13.4,64.7,3.51,-1.57,-0.63,-2.49,-3.18,-2.25,-0.56,17.41
8107,7.5,16.1,7.49,1.98,0.25,-0.48,-0.36,-2.38,-1.2,-0.48,19.44
8109,8.22,91.2,12.8,6.26,4.37,0.15,3.62,12,9.82,4.41,36.59
8110,51.8,13.9,53.3,0.59,-2.41,8.71,6.5,4.92,3.38,1.29,21.89
8111,10.9,50.9,6.34,1.92,0.37,-0.34,0.05,0.39,0.24,0.05,11.88
8112,52.5,43.3,1562,41.8,25.7,-11.1,9.06,5.51,1.77,1.62,30.68
8114,7.64,255,153,75.2,40.5,-0.51,17,28.1,16.8,15.84,92.29
8121,21.3,21.8,22.2,3.42,-0.86,-0.17,-0.86,-3.95,-1.9,-0.4,8.73
8131,44.2,27.4,69.7,5.58,2.87,-0.48,2.01,1.85,1.61,0.46,24.53
8147,4.07,110,12.5,4.96,1.41,0.01,1.09,8.09,5.16,2.68,33.89
8150,71.7,26.6,174,16.6,5.07,-5.32,-0.05,-0.02,-0.01,-0.01,33.39
8155,5.58,137,35.6,5.14,2.04,0.01,1.82,7.23,3.82,3.35,50.7
8162,6.87,39.1,9.87,2.73,1.27,-0.01,1.05,7.18,4.19,1.53,21.54
8163,28,35.4,189,30.1,-0.99,0.07,1.28,-0.78,-0.32,0.46,36.78
8171,11.3,30.7,1.99,-0.26,-3.76,-0.97,-4.18,-20.5,-14.4,-4.13,18.23
8176,7.17,10.5,2.85,0.89,-0.01,0.32,0.23,4.21,3.17,0.33,7.97
8182,10.7,26.2,21.2,2.95,0.51,-0.14,0.05,0.13,0.08,0.04,32.61
8183,12.1,27.8,51.4,6.52,2.13,-0.6,1.16,3.33,1.45,0.96,28.16
8201,6.24,13.6,3.39,0.86,-0.23,0.03,-0.2,-4.37,-3.19,-0.33,7.4
8210,12.2,565,153,46,34.2,-0.35,24.9,30.1,13.6,20.45,78.56
8213,27.1,33.5,138,16.1,6.9,0.13,4.81,2.92,1.55,1.77,55.53
8215,32.1,23.4,135,21.1,-0.42,0.61,-0.38,-0.36,-0.13,-0.12,16.69
8222,6.86,50.8,7.26,1.25,0.38,-0.25,0.11,1.25,0.53,0.16,12.76
8227,3.95,170,9.34,1.98,0.81,-0.05,0.55,4.94,3.49,1.4,28.17
8234,14.1,94.3,43.8,11.1,0.74,-0.25,0.46,1.26,0.64,0.32,21.83
8240,10,36.6,54.5,8.46,2.46,-0.07,1.54,3.39,2.1,1.54,43.71
8249,13.8,56.6,27.6,5.79,2.59,2.5,4.03,5.58,4.08,3.8,60.73
8255,10.2,131,62.7,16.8,5.49,0.1,4.73,4.59,2.88,4.64,76.58
8261,11.9,85.6,23.6,8.8,6,-0.01,4.79,8.47,7.55,4.05,48.17
8271,12.8,60,79.9,13.5,4.92,0.58,4.43,9.72,6.74,3.45,35.9
8272,1.9,87,3.17,2.31,0.54,0.06,0.48,8.28,6.06,2.5,30.26
8277,9.16,10.6,2.04,0.6,-0.44,-0.01,-0.31,-9.79,-7.28,-0.34,4.95
8279,2.71,121,16.6,5.89,2.87,0,2.34,10.2,7.59,8.62,86.13
8284,4.63,65.7,21.5,4.8,1.78,-0.11,1.34,10.2,6.62,2.88,27.68
8289,6.83,20.1,13.1,3.13,0.11,-0.19,-0.16,-1.04,-0.71,-0.24,21.96
8291,1.75,10,0.02,-0.1,-0.24,-0.03,-0.27,-28.5,-10.4,-1.54,4.63
8299,20.7,541,499,154,49.3,0.75,41.1,8.29,5.75,19.9,240.59
8341,13,74.9,29.5,12.9,7.09,0.13,4.68,9.87,5.4,3.6,38.58
8342,3.35,80.6,11.8,3.03,1.57,0.05,1.35,13,7.76,4.02,29.7
8349,20.9,50.5,84,17.2,4.6,-1.28,2.63,2.75,0.97,1.19,31.76
8354,7.85,14.7,4.8,0.64,0,-0.39,-0.34,-1.63,-0.8,-0.43,25.73
8358,25.3,153,57.2,11.5,9.6,-1.07,6.85,10,7.8,2.71,28.27
8367,9.22,45.7,23.8,7.39,4.84,-0.76,2.36,7.14,1.93,2.56,36.12
8374,11.2,102,35.2,8.76,2.48,-0.2,0.79,6.01,3.36,0.7,18.64
8383,11.4,42.3,23.9,6.41,3.29,0,2.14,6.21,4.46,1.89,32.05
8390,9.61,64.7,34,6.41,4.49,1.3,4.91,14.3,12.1,5.11,36.07
8401,7.07,27.8,11.3,3.38,1.4,0.11,1.21,10.6,7.84,1.71,16.25
8403,13.8,26.4,32.3,5.34,1,-0.2,0.9,1.37,0.79,0.65,26.23
8404,42,21.9,57.4,22.7,10.4,-3.58,5.01,7.52,2.72,1.19,15.95
8409,3.2,22.5,1.7,1.06,-0.21,0.02,-0.19,-6.14,-3.71,-0.58,9.08
8410,3.66,43.6,8.56,2.99,1.27,-0.56,0.56,3.09,2.47,1.54,49.26
8411,21.8,13,67.8,3.58,-1.36,-0.59,-1.94,-3.36,-1.46,-0.89,25.23
8415,103,34.3,176,64.6,29.9,1.18,24.1,8.5,5.33,2.35,25.81
8416,2.82,166,11.7,5.97,2.68,0.29,2.35,15.5,12.5,8.34,53.83
8421,5.48,13.8,8.67,1.44,-0.14,-0.09,-0.29,-2.91,-1.21,-0.54,13.24
8422,11.2,194,37.9,20.5,15.9,-0.96,11.8,14.7,5.53,10.47,64.55
8423,4.17,18.7,2.82,0.77,0.33,-0.07,0.2,3.37,2.26,0.49,14.3
8424,3.61,73.3,8.13,2.8,1.76,0.1,1.49,13.4,11.4,4.14,30.77
8426,5.02,30.2,18.9,4.6,0.57,-0.23,0.09,0.71,0.36,0.17,22.28
8429,18.6,7.89,1.04,0.18,-0.09,0.23,0.14,0.22,0.2,0.07,32.59
8431,4.44,44.5,7.92,1.02,-0.69,-0.3,-1.05,-10.4,-6.75,-2.44,18.72
8432,3.84,49.2,9.79,5.01,1.76,0.12,1.15,8.92,7.68,3.01,37.55
8433,5.42,57.5,24.3,5.77,2.37,-1.68,0.39,1.61,0.77,0.71,40.66
8435,3.17,61.6,4.49,2.31,1.01,0.09,0.87,11.2,9.23,2.74,23.53
8436,11.8,128,51.2,22.1,7.85,0.5,6.49,8.11,5.39,5.89,66.16
8437,4.7,18.6,1.63,0.41,-0.72,0.07,-0.4,-1.68,-1.38,-0.83,47.51
8438,6.99,30.7,28,3.48,1.51,-0.2,0.84,4.62,2.89,1.21,26.17
8440,5.03,28.7,7.16,0.49,0.1,-0.05,0.04,0.57,0.48,0.07,12.56
8442,7.02,75.4,58.9,11.7,4.02,-1.18,2.36,6.4,3.39,3.46,50.79
8443,6.68,12,8.24,4.76,-0.79,0.03,-0.76,-10.4,-4.49,-1.14,10.3
8444,11,14.6,26.8,-2.24,-6.54,0.18,-6.41,-89.7,-8.39,-5.84,5.08
8446,5.29,98.8,7.68,5.33,3.35,2.15,4.56,21.4,15.8,8.61,40.47
8450,5.13,18.7,1.75,0.37,-1.24,-0.33,-1.55,-25.3,-11.7,-3.03,10.56
8454,26.5,261,770,69.1,22,0.59,20.7,21.9,7.59,7.81,33.14
8455,2.52,22.7,8.79,1.02,-0.03,-0.04,0,-1.36,-0.62,0.02,20.26
8462,7.93,149,44.3,13.8,6.17,-0.55,4.46,21.4,4.1,5.69,27.02
8463,15,24.3,53.8,6.45,3.55,1.1,2.77,13.4,4.09,1.84,16.35
8464,29.3,436,223,131,66.1,-1.99,46.4,17.4,13.1,15.83,93.24
8466,7.98,26.7,24.8,3.61,0.58,-0.08,0,0.01,0,0,37.76
8467,5.04,169,20,8.59,5.56,0.15,4.81,16.9,10.9,9.42,56.22
8472,1.77,67.3,3.55,1.35,-0.29,0.03,-0.26,-9.48,-2.59,-1.48,15.07
8473,18.1,34.5,36,8.68,6.58,-1.05,3.72,5.36,2.68,2.05,37.2
8476,8.31,20.2,9.19,1.89,1.02,0,0.77,4.03,2.2,0.47,11.13
8477,6.42,12.6,3.39,0.46,-0.74,0.34,-0.4,-10.4,-7.86,-0.62,5.65
8478,9.4,208,41.6,16.3,9.52,1.02,10,11.7,6.7,10.64,91.02
8481,6.66,44.4,8.87,4.29,2.06,-0.06,1.61,9.68,8.62,2.42,24.55
8482,10.7,54.7,25.7,8.55,2.39,0.22,1.84,5.34,3.77,1.74,27.71
8487,2.65,80.1,8.02,1.97,0.95,0.05,0.8,11.9,7.91,3.02,24.24
8488,7.35,11.5,21.6,0.78,-0.97,-0.23,-1.29,-5.35,-2.5,-1.75,30.86
8489,4.03,41.2,9.85,5.18,0.45,-0.12,-0.18,2.23,0.9,-0.46,11.66
8499,4.12,261,17.8,7.79,4.09,0.97,2.62,3.45,2.83,6.34,186.98
8905,11.9,30.5,15.8,1.42,0.49,0.15,0.51,1.85,1.46,0.44,23.51
8906,4.4,34.7,1.51,0.16,-0.16,-0.07,-0.23,-5.01,-0.98,-0.55,11
8908,31.5,42.1,79,7.9,6.14,0,4.86,11.2,4.71,1.54,13.67
8916,15.2,49.6,62.6,10.5,4.59,0.22,3.63,6.46,3.57,2.4,34.98
8917,16.3,60.7,23.3,4.31,3.29,0.2,2.78,10.4,4.75,1.71,16.26
8921,4.66,17.7,4.47,0.49,-0.27,0.2,-0.05,-0.68,-0.48,-0.11,21.17
8923,3.04,19.8,3.31,1.45,0.1,0.12,0.18,4.05,2.1,0.6,14.69
8924,8.38,59.7,32.4,5.77,2.83,1.39,3.36,8.33,6.05,4.01,45.88
8926,73,45.5,56.4,8.19,4.76,9.8,13.6,8.85,4.71,1.86,21.03
8927,43.2,41.8,75.4,12.9,3.95,-2.78,0.53,0.63,0.16,0.12,13.23
8928,5.09,27,23.9,2.98,0.49,-0.46,0.07,0.7,0.23,0.15,19.86
8929,5.06,17.7,5.29,1.28,-0.37,0.11,-0.24,-2.89,-1.97,-0.48,16.23
8930,8.18,31.1,10.9,2.91,1.75,-0.06,1.36,9.11,6.51,1.66,17.7
8931,12.2,52.6,19.1,3.73,2.61,-0.08,2.25,11,4.53,1.84,16.55
8932,8.95,183,17.2,10.8,8.18,-0.48,5.14,30.3,21.1,2.9,12.15
8933,32.7,6.35,19.1,-0.28,-3.13,-0.22,-3.6,-18.4,-8.93,-1.1,5.27
8935,11.3,21,4.04,0.4,-0.72,0.07,-0.63,-6.9,-4.36,-0.55,7.55
8936,24.8,52.8,45,12.3,10.2,-0.1,7.32,9.7,5.82,2.95,25.95
8937,10.2,155,0.53,-0.26,-0.8,-1,-1.66,-9.48,-5.65,-1.63,24.39
8938,15.7,62,107,16.3,5.61,1.06,5.45,7.25,3.78,3.56,48.43
8940,6.75,20.5,11.1,5.31,0.12,-0.1,0.02,0.19,0.08,0.02,10.76
8941,3.5,49.6,22.3,6.27,0.26,-0.07,0.17,1.06,0.56,0.48,23.33
8942,19.9,42.7,30.7,9.64,3.64,0.08,3.46,2.47,1.81,1.74,47.98
8996,9.22,316,42.9,11.8,6.8,-0.26,5.14,14.2,7.82,5.62,41.11
9802,20.1,107,127,23.4,11.6,-0.38,8.53,6.22,3.98,4.26,65.95
9902,9.8,16.7,1.34,0.2,0.01,0.15,0.13,1.04,0.96,0.13,12.85
9904,295,28.8,1886,437,88.2,79.4,89.4,6.12,3.85,3.03,45.84
9905,30.5,21.5,63.7,6.04,2.86,0.99,2.98,3.58,2.56,0.98,25.53
9906,9.04,69,4.21,0.85,-1.54,-0.2,-1.8,-11.8,-2,-1.99,12.81
9907,158,18.4,360,53.2,27.7,-1.42,17.8,8.16,5.04,1.12,12.71
9908,51.6,30.4,25.5,6.18,4.14,5.28,7.73,5.57,4.07,1.54,27.35
9910,98.7,118,628,144,58.6,1.04,36.1,14.5,7.44,3.65,23.69
9911,22.2,86.3,77.2,27.1,11.7,0.79,9.99,15.3,9.45,4.57,29.22
9912,5.42,12,3.63,1.48,-0.59,-0.1,-0.61,-16.4,-8.39,-1.15,6.97
9914,29.9,109,218,34.9,17.3,1.81,14.4,7.56,4.08,4.81,63.55
9917,45.1,113,141,46.7,23.2,4.13,22.1,16.9,7.79,4.99,28.91
9918,18.1,40.1,16,5.05,3.02,-0.08,2.32,7.07,3.95,1.3,18.28
9919,19.5,17.3,20,0.88,-3.71,0.84,-2.9,-11.9,-4.52,-1.49,11.58
9921,39.2,107,480,95.1,12.6,1.7,9.07,2.81,1.38,2.31,84.87
9924,15.1,44.6,56.7,12.6,6.07,-0.9,3.87,5.47,4.24,2.14,44.89
9925,38.7,41,60.2,20.4,5.8,3.92,7.85,6.47,4.43,2.04,31.55
9926,18,50.6,18.8,5.18,3.81,1.18,4.12,9.94,4.73,2.3,23.26
9927,12,63.3,59.1,7.31,5.6,-0.15,4.29,7.23,6.24,2.61,44.49
9928,7.07,17.3,5.96,0.11,-1.15,0.29,-0.86,-3.91,-1.61,-1.21,30.34
9929,10.1,13.7,4.73,0.57,-0.02,-0.23,-0.2,-3.13,-1.35,-0.19,7.67
9930,24.9,72.6,105,16.1,12.1,0.09,9.56,14.7,8.39,3.85,25.34
9931,12,34.3,11.7,2.22,1.53,1.38,2.24,7.31,3.61,1.86,25.93
9933,89.3,30.4,677,63.2,18.1,-1.2,-2.05,2.68,0.53,-0.23,19.75
9934,41.1,10.1,130,45.2,2.4,-0.42,-0.51,-0.84,-0.32,-0.12,13.94
9937,30.9,63.4,170,20.5,5.54,1.21,5.39,9.5,4.41,1.74,18.31
9938,29.8,53.9,120,43.8,21.7,-4.44,10,7.7,3.84,3.37,42.49
9939,29.6,141,229,51.9,31.5,-1.74,22.5,12,5.29,7.6,61.43
9940,73.7,25,68.1,14.3,1.56,0.52,0.55,0.49,0.2,0.07,16.46
9941,57.6,102,297,132,42.9,3.43,35.1,8.8,1.21,5.8,57.73
9942,8.32,112,29.8,11.7,7.34,-0.02,5.02,12.2,9.43,6.03,48.29
9943,12.5,69.1,18.2,8.89,2.56,0.54,2.58,6.64,4.75,3.05,29.82
9944,10.6,17,17.6,5.06,0.59,-0.2,-0.12,0.15,0.09,-0.12,31.21
9945,284,30.3,251,62.1,44.1,56.3,73.2,8.28,4.68,2.68,34.37
9946,32.7,19.5,0.93,0.46,-0.67,-0.11,-1.05,-1.64,-0.62,-0.32,19
9949,4.4,17.8,0.95,0.6,-0.49,3.5,2.42,53.8,32.9,5.5,13.11
9950,16.8,11.1,16.5,3.73,-0.33,-0.41,-0.74,-4.97,-1.73,-0.44,8.53
9951,7.49,59.3,45.9,11.1,3.15,0.25,2.67,7.37,4.5,3.59,49.19
9955,10.4,28.7,10.8,0.99,-0.08,-0.3,-0.39,-3.35,-1.43,-0.37,10.87
9958,24.7,190,109,31.3,24.4,-0.9,12.1,8.7,4.56,4.78,43.4
9960,3.36,23.1,4.92,1.72,0.43,0.04,0.35,5.45,3.28,1.05,18.62
9962,9.02,11.6,15,0.53,-0.13,-0.15,-0.21,-1.91,-1.26,-0.23,11.55
