zname,ename,lon,lat,geohash
iBike1.0_柳川東中華路口,iBike1.0_Liuchuan E. Rd. / Zhonghua Rd.,120.6783,24.14692,wsmc65g60
iBike1.0_忠明南美村南路口,iBike1.0_Zhongming S. Rd. / Meicun S. Rd.,120.66714,24.11898,wsmc1yeph
iBike1.0_忠明南復興路口,iBike1.0_Zhongming S. Rd. / Fuxing Rd.,120.66133,24.12175,wsmc1xnzk
iBike1.0_新福公園,iBike1.0_Xinfu Park,120.70139,24.15089,wsmc6ss14
iBike1.0_山西公園,iBike1.0_Shanxi Park,120.6759,24.17106,wsmcd01w8
iBike1.0_北屯區文昌國小,iBike1.0_Beitun Dist. Wun Chang Elementary School,120.69152,24.16712,wsmc6rkzs
iBike1.0_祥順運動公園,iBike1.0_Xiangshun Sports Park,120.71251,24.13747,wsmc6fh4v
iBike1.0_永興公園,iBike1.0_Yongxing Park,120.66488,24.11674,wsmc1y36p
iBike1.0_臺中高工,iBike1.0_National Taichung Industrial High School,120.66201,24.11328,wsmc1txqh
iBike1.0_豐原高商,iBike1.0_National Fengyuan Commercial High School,120.71382,24.24529,wsmcfvtp5
iBike1.0_興進園道,iBike1.0_Xingjin Greenway ,120.69673,24.15554,wsmc6t2sj
iBike1.0_新平國小,iBike1.0_Sinping Elementary School,120.71975,24.15436,wsmc7j1mq
iBike1.0_大甲鎮瀾宮,iBike1.0_Dajia Jenn Lann Temple,120.62367,24.3445,wsmf2zg2z
iBike1.0_國立公共資訊圖書館,iBike1.0_National Library of Public Information,120.66969,24.12745,wsmc3bkbx
iBike1.0_臺中國家歌劇院,iBike1.0_National Taichung Theater,120.64012,24.16407,wsmc3nzmy
iBike1.0_豐原廟東夜市,iBike1.0_Fengyuan Miao Dong Night Market,120.71864,24.25259,wsmcgp09s
iBike1.0_豐原火車站,iBike1.0_Fengyuan Station,120.72265,24.25452,wsmcgp7sc
iBike1.0_三甲公園,iBike1.0_Sanjia Park,120.70653,24.16621,wsmc6xrf6
iBike1.0_北區太平國小,iBike1.0_North Tai-Ping Elementary School,120.68161,24.14859,wsmc6hjet
iBike1.0_敦化公園,iBike1.0_Dunhua Park,120.66752,24.18782,wsmc9g72m
iBike1.0_豐原地政事務所,iBike1.0_Fengyuan Land Office,120.71441,24.24903,wsmcfymsc
iBike1.0_內新市場,iBike1.0_Neixin Market,120.69004,24.11029,wsmc4m5u9
iBike1.0_大甲區壘球場,iBike1.0_Dajia District Softball Field,120.62603,24.35431,wsmf8ct4n
iBike1.0_大甲區公所,iBike1.0_Dajia District Office,120.62264,24.34981,wsmf8bdxz
iBike1.0_大甲體育場,iBike1.0_Dajia Stadium,120.615759,24.350388,wsmf88veq
iBike1.0_豐原高中,iBike1.0_National Fengyuan Senior High School,120.74168,24.25573,wsmcgx97v
iBike1.0_一江橋,iBike1.0_Yi Jiang Bridge,120.73726,24.13121,wsmc72ynq
iBike1.0_新平立體停車場,iBike1.0_Xinping Parking Garage,120.71541,24.14903,wsmc6unq2
iBike1.0_樹德停車場,iBike1.0_Shude Parking Lot ,120.65435,24.11851,wsmc1w9ud
iBike1.0_長億公園,iBike1.0_Changyi Park,120.71478,24.11776,wsmc4ytb4
iBike1.0_宜昌兒童公園,iBike1.0_Yichang Children's Park,120.71322,24.14442,wsmc6gkem
iBike1.0_中山醫學大學,iBike1.0_Chung Shan Medical University,120.65271,24.12212,wsmc1x29e
iBike1.0_太平區運動場,iBike1.0_Taiping Sadium,120.72047,24.13094,wsmc70cuy
