Entity,Year,Primary,Fossil,Low-carbon,Coal%d,Gas%d,Oil%d,Nuclear%d,Hydro%d,Renewables%d,Solar%d,Wind%d,renewables-other%d,Coal%s,Gas%s,Oil%s,Nuclear%s,Hydro%s,Renewables%s,Solar%s,Wind%s,Renewables-other%s,Fossil%s,Low-carbon%s,Coal%d_gr,Coal%s_gr,Gas%d_gr,Gas%s_gr,Oil%d_gr,Oil%s_gr,Nuclear%d_gr,Nuclear%s_gr,Hydro%d_gr,Hydro%s_gr,Solar%d_gr,Solar%s_gr,Wind%d_gr,Wind%s_gr,Renewables-other%d_gr,Renewables-other%s_gr,Renewables%d_gr,Renewables%s_gr,Fossil%d_gr,Fossil%s_gr,Low-carbon%d_gr,Low-carbon%s_gr,Fossil%d,Low-carbon%d,Coal_pc,Oil_pc,Gas_pc,Nuclear_pc,Solar_pc,Wind_pc,Hydro_pc,Renewables_pc,Fossil_pc,Low-carbon_pc,Renewables-other_pc,Hydro_s,Nuclear_s,Renewables_s,Solar_s,Wind_s,renewables-other_s,Low-carbon_s,Primary_d,Biofuels,Biofuels%d,Biofuels%s,Biofuels%d_gr,Biofuels%s_gr,Biofuels_pc
Netherlands,2010,1137.61621948336,1095.2914545658,17.9187263012006,7.8851100635494,42.0031828163693,48.5020626334269,0.35655144627843,0.009357352438052,1.25309304037593,0.005339872112354,0.35869740221834,0.634027259300037,7.71594554218956,41.1020605416699,47.4615155587226,0.909714814098888,0.023874600560486,2.81076351421338,0.013624284335826,0.915190058822645,1.61767396319237,96.279521642582,3.72047832831227,0.636942675159236,0.555555999999996,13.0566189804554,54.0000432000001,1.85852820771115,9.85165371464996,-7.14437265573276,-0.796263692566001,6.48611207918028,0.016543346568,32.9296794036436,0.038395030716,-13.4132590373367,-1.612835179156,14.7889872650091,2.370964118992,-2.62030677984594,-0.860406774991528,6.24776796574149,64.4072529146501,-3.76674943200697,-1.65667046755753,98.3903555133456,1.60964448665436,5261.51459569622,32364.0771543365,28027.5554396691,620.335867604388,9.29041949517473,624.069445021639,16.2801251808428,1916.66376780667,65653.1471897019,2536.99963541105,1103.09425097357,0.271601328392,10.349063279244,31.9757016383186,0.154992068438,10.411350551296,18.402921388992,42.3247649175626,1113.210180867,2.73483630120062,0.245671154307146,0.240400607302051,-37.9618026591404,-1.67347409211154,163.929527135445
Netherlands,2011,1088.8511263052,1042.31890302112,20.3019295032842,8.14809948665404,38.5159120424641,51.4254359123503,0.389675684238469,0.005364095852007,1.52087687429307,0.009443067266206,0.479961510624991,0.666612095602531,7.95181274134385,37.588068312788,50.1866032915746,0.985504378809824,0.013565991523385,3.28801127063661,0.023881867733175,1.21384061789974,1.68588690684615,95.7264843457065,4.27351564944644,-1.36075949367089,-1.19444540000001,-12.4695538525515,-58.3056022,1.20895250761464,6.52749605532608,3.68740860343717,0.381612249734001,-45.6138700136229,-0.123887876888,67.7750277344163,0.10504591737,26.9471926343578,2.805566688896,-0.25062767862275,-0.046122814676,11.9648543136291,3.82584611678555,-4.8363886455842,-52.9725515446742,9.94089010231849,4.20745836651955,98.0894474414685,1.91055255853154,5172.86429680966,32647.711508013,24452.0316166806,641.096638127494,15.5357859844665,789.635394921257,8.82503593643207,2138.93820976844,62272.6074215033,2780.03484789594,1096.71397863042,0.147713451504,10.730675528978,35.8015477551042,0.260037985808,13.216917240192,18.356798574316,46.5322232840822,1062.62083252441,3.82008050328418,0.359496104947335,0.350835886634171,39.6822362496476,1.08524420208356,228.228014295865
Netherlands,2012,1053.20054608476,1006.84464269729,20.4216022512068,9.26137361836217,38.2406848790884,50.5099853761188,0.381080369305453,0.010161727839625,1.6068757571251,0.024701775342839,0.484959865516632,0.701240309941377,9.03331899569338,37.299035689663,49.2662135415479,0.95740094251034,0.025529636462454,3.44403082240919,0.062059086122992,1.21838088682439,1.76174947772574,95.5985682269043,4.40143176491953,9.88129611806226,8.55556240000001,-4.01791774127868,-16.4444576,-5.04803583318104,-27.58536512383,-6.03245873632015,-0.647323573414001,82.0269365588,0.121164819154,151.350444807165,0.393568648188,-2.91235148651358,-0.384923085716,1.07838273897589,0.197956547253998,1.31559585083998,0.471003676802646,-3.4033979640021,-35.4742603238299,-0.37891999171179,-0.176319896611354,98.0120438735694,1.98795612643056,5665.73159838018,30899.9541506248,23394.0952596474,600.485466624821,38.9236918768461,764.173067798714,16.0122838648166,2160.10906574004,59959.7810086525,2760.59453236487,1104.97588861184,0.268878270658,10.083351955564,36.2725514319068,0.653606633996,12.831994154476,18.55475512157,46.3559033874708,1027.2662449485,3.96331725120682,0.385812078484631,0.376311735273616,3.74957406786316,0.14323674792264,236.024133587829
Netherlands,2013,1021.77286671486,979.321347067562,18.8883879928217,9.53652496629293,39.1812872849152,49.3899613629533,0.28960436854737,0.011451701579837,1.60262201729118,0.051682525413238,0.563724015340283,0.596467835453421,9.31660290786803,38.277726566321,48.2509781372124,0.724358780570664,0.028643021614027,3.43033362080531,0.129268395471433,1.40998716239812,1.49188605566717,95.8453076114014,4.15469240137598,0.05839416058393,0.055555599999991,-0.438410408711631,-1.72222359999995,-4.9832378948778,-25.85662762973,-26.5987986018086,-2.682050478972,8.84725727586131,0.023788352364,102.083228855979,0.667222756,12.273011304955,1.57487209323,-17.8448499196783,-3.311068204408,-3.36985740717416,-1.22233326119917,-2.73361891820731,-27.52329562973,-8.42262463862682,-3.90438374017116,98.1077736141615,1.89222638583855,5651.53886250297,29269.4967031324,23219.6285917834,439.402842352885,78.4154232958917,855.311460918191,17.3751260402517,2080.87260571762,58140.6641574188,2520.27544807051,904.992099095346,0.292666623022,7.401301476592,35.0502181707077,1.320829389996,14.406866247706,15.243686917162,42.4515196472997,998.209735060384,3.78616899282166,0.3792959395044,0.370548985654559,-4.46969664947258,-0.17714825838516,224.778496367945
Netherlands,2014,965.058257915433,920.420568835866,20.2303792482711,11.1949751408299,36.647228039488,50.0071181551386,0.434944121231466,0.011898675085372,1.71573454331198,0.083427545743547,0.616310865556206,0.532948168522081,10.9118427794935,35.7203821929608,48.7423870352585,1.07890012198548,0.029515253850675,3.54648790282714,0.206946106193787,1.52878918253778,1.32200391880628,95.3746120077128,4.62538802481262,10.6215348701488,10.1111192,-11.8607954545455,-46.3889260000001,-4.58869465709736,-22.622971431696,40.6781597996507,3.010713241902,-2.67445204484815,-0.007827228484,51.2042737490909,0.676321096612,2.4074631757564,0.346839999694,-16.3056283326551,-2.485578932906,-2.35246412909237,-0.824543809634513,-6.01444851662492,-58.9007782316961,5.14980252869826,2.18616943226748,97.8493213354566,2.15067866454344,6233.68494642751,27845.4052587383,20406.2332326999,616.350838719825,118.223553342094,873.362117291186,16.8613860497247,2026.02701480336,54485.3234378657,2642.37785352318,755.230449550465,0.284839394538,10.412014718494,34.2256743610731,1.997150486608,14.7537062474,12.758107984256,44.6376890795671,940.650948084137,4.43187024827114,0.471149288404771,0.459233441438619,17.054211174242,0.645701255449479,262.349508569889
Netherlands,2015,976.85123514703,928.085652467928,21.5779710999916,13.4872424952728,35.8870045921713,48.3535830026542,0.429419522744133,0.009792941173275,1.84275038715748,0.118095394218266,0.795004969405363,0.519131182626309,13.1118671054947,34.8882015869258,47.0078116136436,1.05609540710222,0.024084318827019,3.93602426408477,0.290438605217257,1.95520010612429,1.27672829156813,95.0078803060642,4.992119671187,21.6301767343709,22.777796,-1.13618049959707,-3.91666979999991,-2.38014938788085,-11.196042567938,-0.917533158768125,-0.095533687538,-17.4032909409891,-0.049571428546,42.0600561689609,0.840002616446,29.454904891995,4.345690143216,-2.24462668067548,-0.286371895763999,12.3399388497543,4.22342728707246,0.832780567013702,7.66508363206208,9.24755220230251,4.12789359953446,97.7278300900984,2.27216990990161,7561.89844137442,27110.4255796392,20120.7833392372,609.073150959735,167.502249560397,1127.60635202598,13.8899495803519,2269.99065108901,54793.1073602508,2879.06380204874,736.316925758177,0.235267965992,10.316481030956,38.4491016481456,2.837153103054,19.099396390616,12.471736088492,48.7655826791016,949.66362356792,3.8055480999916,0.400725899734268,0.389572942348084,-14.1322311618637,-0.626322148279539,224.675174164104
Netherlands,2016,994.151508284459,944.085072767454,21.7476188505713,12.2893478787879,36.3963719649101,49.0625838698428,0.410037683997369,0.010361939585245,1.84165860246175,0.161459020131898,0.84594962159671,0.507808447836191,11.9392807266413,35.3596062709211,47.6650158962065,1.00178763248698,0.025315885440784,4.03430949246476,0.394470202850414,2.06679022185795,1.24065726625019,94.9639028937689,5.03609712495174,-7.33029711559315,-9.38889640000001,3.146140679762,10.7222308,3.19385915652739,14.666085899526,-3.46236447847081,-0.357194174644,6.97514888472237,0.016410290906,38.2241750159565,1.084478367582,7.57945298169345,1.447629769214,-1.10428223269641,-0.137723165734004,4.31231665103837,1.65804701254766,1.72391634942108,15.9994202995259,2.66756340524796,1.30085283790365,97.7483037135409,2.25169628645912,6989.84390789706,27905.4516440406,20701.2578175608,586.495898728697,230.942316155468,1210.00095164183,14.8211681819681,2361.88379133698,55596.5533694985,2948.37969006568,726.341965888817,0.251678256898,9.959286856312,40.1071486606933,3.921631470636,20.54702615983,12.334012922758,50.0664355170053,965.832691618025,3.05279985057126,0.31607957331171,0.307075916065427,-19.7802847222454,-0.75274824942034,179.777389468892
Netherlands,2017,980.789014075028,923.950335548566,25.585040355,11.2043191543824,38.0888343054983,48.0123665866311,0.358330830672027,0.006398603100194,2.33614912281613,0.232149960490137,1.11304973655593,0.484378899061377,10.8472844284797,36.8751026785393,46.482413547272,0.867281513443349,0.015486778433917,4.92791783226567,0.561881233334291,2.69395591288513,1.17236036840625,94.204800654291,5.79519934570902,-10.367423355956,-12.3055654,2.88423548004739,10.1388969999999,-3.79183197464055,-17.968068818888,-14.5902520162381,-1.453085051356,-39.6480953952415,-0.099785635384,40.5249180081233,1.589237938056,28.5929332647553,5.87499747777201,-6.77501498736183,-0.835631224059998,20.5083840050537,8.22532806081274,-2.13272487826397,-20.1347372188879,13.5265132009578,6.77224300945674,97.3055200465118,2.69447995348816,6250.45379237413,26784.2315697413,21248.2789495329,499.747476937665,323.768839004289,1552.31911389472,8.92383652629105,2839.57915054967,54282.9643116483,3339.32662748734,675.540902338171,0.151892621514,8.506201804956,48.332476721506,5.510869408692,26.422023637602,11.498381698698,56.838678526462,949.535375903566,4.749309355,0.500171923608493,0.484233539206088,55.5722480172187,1.69650950442874,279.026458786205
Netherlands,2018,979.473599967142,916.524417663392,29.677980712,10.092986084581,37.3745799426413,49.3958977768268,0.371460694459745,0.007646144220752,2.76507550149119,0.39030687370281,1.11642551510518,0.481422368810439,9.75014297508414,36.1050233321106,47.717995613059,0.891861346050475,0.018358061521825,5.5349767336958,0.937110233833757,2.68049024883905,1.15587465686853,93.5731619202537,6.42683807974628,-10.2349869451697,-10.8888976,-2.21966205837173,-8.02778419999999,2.52048802858187,11.4907639148261,2.69620487708599,0.22934462792,18.3812381929471,0.027919744558,66.5571557278213,3.6678779343,-0.633294795376205,-0.167329300530003,-1.53843028171546,-0.17689458596,12.1681311372796,5.881159149368,-0.803713965942232,-7.42591788517393,10.7506084513263,6.110503777288,96.8634638040491,3.13653619595093,5597.89427901524,27396.5515511953,20729.1425439625,512.048442724267,538.02739407925,1538.96215340399,10.5399980112544,3177.82156335721,53723.588374173,3689.87000608148,663.627615049121,0.179812366072,8.735546432876,54.213635870874,9.178747342992,26.254694337072,11.321487112738,62.94918230375,946.202398375392,7.278894712,0.769274599652009,0.743143532632649,53.2621728322854,2.529585357,426.664402813599
Netherlands,2019,975.325438506949,901.859039819988,34.6944196023508,7.90428311969078,39.338738658359,49.0524999294083,0.41746127363744,0.007920743792432,3.28701701890447,0.554082305477865,1.22338921336824,0.601512913472628,7.5900652306155,37.7749111444734,47.1025225882264,0.992631778278206,0.01883378565138,6.53986924957754,1.31748676951236,2.90895247966107,1.43026639531201,92.4674989633153,7.53250102785575,-22.4840023269343,-21.4722394,4.18198751080041,14.789145997974,-1.70786001843886,-7.98228444137794,10.8275288729546,0.945843812230001,2.15687970784337,0.003878336436,39.9949593662456,3.67103627016,8.06354538531677,2.117059193646,23.214837893786,2.628264880388,17.6549172864515,9.57137257098082,-1.60010770698202,-14.665377843404,16.7074710080615,10.5172163832108,96.2955217074581,3.70447829254191,4329.87290167866,26870.3798924966,21549.2962389878,566.262516529567,751.581190451658,1659.45800612493,10.7440312632626,3730.77197413902,52749.549033163,4297.03449066859,815.918113886998,0.183690702508,9.681390245106,63.7850084418548,12.849783613152,28.371753530718,13.949751993126,73.4663986869608,936.553459422339,8.43002860235082,0.9001118427933,0.864329819440722,15.8146797817127,1.15113389035082,493.070632412167
