code,continent,Entity,Year,type,source,value
KIR,Oceania,Kiribati,2020,fossil,coal,0.0
XXK,Europe,Kosovo,2020,fossil,coal,6.33
KWT,Asia,Kuwait,2020,fossil,coal,0.0
KGZ,Asia,Kyrgyzstan,2020,fossil,coal,1.08
LAO,Asia,Laos,2020,fossil,coal,10.51
LVA,Europe,Latvia,2020,fossil,coal,0.0
LBN,Asia,Lebanon,2020,fossil,coal,0.0
LSO,Africa,Lesotho,2020,fossil,coal,0.0
LBR,Africa,Liberia,2020,fossil,coal,0.0
LBY,Africa,Libya,2020,fossil,coal,0.0
LTU,Europe,Lithuania,2020,fossil,coal,0.0
LUX,Europe,Luxembourg,2020,fossil,coal,0.0
MAC,Asia,Macao,2020,fossil,coal,0.0
MDG,Africa,Madagascar,2020,fossil,coal,0.21
MWI,Africa,Malawi,2020,fossil,coal,0.0
MYS,Asia,Malaysia,2020,fossil,coal,70.14
MDV,Asia,Maldives,2020,fossil,coal,0.0
MLI,Africa,Mali,2020,fossil,coal,0.0
MLT,Europe,Malta,2020,fossil,coal,0.0
MTQ,North America,Martinique,2020,fossil,coal,0.0
MRT,Africa,Mauritania,2020,fossil,coal,0.0
MUS,Africa,Mauritius,2020,fossil,coal,0.66
MEX,North America,Mexico,2020,fossil,coal,18.19
MDA,Europe,Moldova,2020,fossil,coal,3.28
MNG,Asia,Mongolia,2020,fossil,coal,6.02
MNE,Europe,Montenegro,2020,fossil,coal,1.62
MSR,North America,Montserrat,2020,fossil,coal,0.0
MAR,Africa,Morocco,2020,fossil,coal,21.95
MOZ,Africa,Mozambique,2020,fossil,coal,0.0
MMR,Asia,Myanmar,2020,fossil,coal,0.89
NAM,Africa,Namibia,2020,fossil,coal,0.03
NRU,Oceania,Nauru,2020,fossil,coal,0.0
NPL,Asia,Nepal,2020,fossil,coal,0.0
NLD,Europe,Netherlands,2020,fossil,coal,7.61
NCL,Oceania,New Caledonia,2020,fossil,coal,0.0
NZL,Oceania,New Zealand,2020,fossil,coal,2.42
NIC,North America,Nicaragua,2020,fossil,coal,0.0
NER,Africa,Niger,2020,fossil,coal,0.0
NGA,Africa,Nigeria,2020,fossil,coal,0.54
PRK,Asia,North Korea,2020,fossil,coal,2.41
MKD,Europe,North Macedonia,2020,fossil,coal,2.63
NOR,Europe,Norway,2020,fossil,coal,0.04
OMN,Asia,Oman,2020,fossil,coal,0.0
PAK,Asia,Pakistan,2020,fossil,coal,18.25
PSE,Asia,Palestine,2020,fossil,coal,0.0
PAN,North America,Panama,2020,fossil,coal,0.98
PNG,Oceania,Papua New Guinea,2020,fossil,coal,0.0
PRY,South America,Paraguay,2020,fossil,coal,0.0
PER,South America,Peru,2020,fossil,coal,0.34
PHL,Asia,Philippines,2020,fossil,coal,44.9
POL,Europe,Poland,2020,fossil,coal,107.4
PRT,Europe,Portugal,2020,fossil,coal,2.36
PRI,North America,Puerto Rico,2020,fossil,coal,0.0
QAT,Asia,Qatar,2020,fossil,coal,0.0
ROU,Europe,Romania,2020,fossil,coal,9.36
RUS,Europe,Russia,2020,fossil,coal,143.83
RWA,Africa,Rwanda,2020,fossil,coal,0.0
KNA,North America,Saint Kitts and Nevis,2020,fossil,coal,0.0
LCA,North America,Saint Lucia,2020,fossil,coal,0.0
SPM,North America,Saint Pierre and Miquelon,2020,fossil,coal,0.0
VCT,North America,Saint Vincent and the Grenadines,2020,fossil,coal,0.0
WSM,Oceania,Samoa,2020,fossil,coal,0.0
STP,Africa,Sao Tome and Principe,2020,fossil,coal,0.0
SAU,Asia,Saudi Arabia,2020,fossil,coal,0.0
SEN,Africa,Senegal,2020,fossil,coal,0.12
SRB,Europe,Serbia,2020,fossil,coal,26.46
SYC,Africa,Seychelles,2020,fossil,coal,0.0
SLE,Africa,Sierra Leone,2020,fossil,coal,0.0
SGP,Asia,Singapore,2020,fossil,coal,0.0
SVK,Europe,Slovakia,2020,fossil,coal,1.86
SVN,Europe,Slovenia,2020,fossil,coal,4.36
SLB,Oceania,Solomon Islands,2020,fossil,coal,0.0
SOM,Africa,Somalia,2020,fossil,coal,0.0
ZAF,Africa,South Africa,2020,fossil,coal,194.44
KOR,Asia,South Korea,2020,fossil,coal,197.72
SSD,Africa,South Sudan,2020,fossil,coal,0.0
ESP,Europe,Spain,2020,fossil,coal,5.52
LKA,Asia,Sri Lanka,2020,fossil,coal,4.17
SDN,Africa,Sudan,2020,fossil,coal,0.0
SUR,South America,Suriname,2020,fossil,coal,0.0
SWE,Europe,Sweden,2020,fossil,coal,0.0
CHE,Europe,Switzerland,2020,fossil,coal,0.0
SYR,Asia,Syria,2020,fossil,coal,0.09
TWN,Asia,Taiwan,2020,fossil,coal,127.03
TJK,Asia,Tajikistan,2020,fossil,coal,0.41
TZA,Africa,Tanzania,2020,fossil,coal,0.0
THA,Asia,Thailand,2020,fossil,coal,36.61
TGO,Africa,Togo,2020,fossil,coal,0.0
TON,Oceania,Tonga,2020,fossil,coal,0.0
TTO,North America,Trinidad and Tobago,2020,fossil,coal,0.0
TUN,Africa,Tunisia,2020,fossil,coal,0.0
TUR,Asia,Turkey,2020,fossil,coal,104.02
TKM,Asia,Turkmenistan,2020,fossil,coal,0.0
TCA,North America,Turks and Caicos Islands,2020,fossil,coal,0.0
UGA,Africa,Uganda,2020,fossil,coal,0.0
UKR,Europe,Ukraine,2020,fossil,coal,38.63
ARE,Asia,United Arab Emirates,2020,fossil,coal,0.0
GBR,Europe,United Kingdom,2020,fossil,coal,5.32
USA,North America,United States,2020,fossil,coal,773.39
VIR,North America,United States Virgin Islands,2020,fossil,coal,0.0
URY,South America,Uruguay,2020,fossil,coal,0.0
UZB,Asia,Uzbekistan,2020,fossil,coal,10.22
VUT,Oceania,Vanuatu,2020,fossil,coal,0.0
VEN,South America,Venezuela,2020,fossil,coal,0.0
VNM,Asia,Vietnam,2020,fossil,coal,115.74
YEM,Asia,Yemen,2020,fossil,coal,0.0
ZMB,Africa,Zambia,2020,fossil,coal,1.27
ZWE,Africa,Zimbabwe,2020,fossil,coal,3.62
AFG,Asia,Afghanistan,2020,fossil,oil,0.18
ALB,Europe,Albania,2020,fossil,oil,0.0
DZA,Africa,Algeria,2020,fossil,oil,0.0
ASM,Oceania,American Samoa,2020,fossil,oil,0.16
AGO,Africa,Angola,2020,fossil,oil,0.68
ATG,North America,Antigua and Barbuda,2020,fossil,oil,0.33
ARG,South America,Argentina,2020,fossil,oil,7.62
ARM,Asia,Armenia,2020,fossil,oil,0.0
ABW,North America,Aruba,2020,fossil,oil,0.77
AUS,Oceania,Australia,2020,fossil,oil,4.13
AUT,Europe,Austria,2020,fossil,oil,3.26
AZE,Asia,Azerbaijan,2020,fossil,oil,8.54
BHS,North America,Bahamas,2020,fossil,oil,2.1
BHR,Asia,Bahrain,2020,fossil,oil,0.03
BGD,Asia,Bangladesh,2020,fossil,oil,16.13
BRB,North America,Barbados,2020,fossil,oil,0.98
BLR,Europe,Belarus,2020,fossil,oil,0.0
BEL,Europe,Belgium,2020,fossil,oil,3.14
BLZ,North America,Belize,2020,fossil,oil,0.37
BEN,Africa,Benin,2020,fossil,oil,0.22
BTN,Asia,Bhutan,2020,fossil,oil,0.0
BOL,South America,Bolivia,2020,fossil,oil,0.0
BIH,Europe,Bosnia and Herzegovina,2020,fossil,oil,0.11
BWA,Africa,Botswana,2020,fossil,oil,0.37
BRA,South America,Brazil,2020,fossil,oil,6.91
VGB,North America,British Virgin Islands,2020,fossil,oil,0.14
BDI,Africa,Brunei,2020,fossil,oil,0.13
BGR,Europe,Bulgaria,2020,fossil,oil,0.32
BFA,Africa,Burkina Faso,2020,fossil,oil,1.56
BDI,Africa,Burundi,2020,fossil,oil,0.08
KHM,Asia,Cambodia,2020,fossil,oil,0.53
CMR,Africa,Cameroon,2020,fossil,oil,3.04
CAN,North America,Canada,2020,fossil,oil,3.13
CPV,Africa,Cape Verde,2020,fossil,oil,0.38
CYM,North America,Cayman Islands,2020,fossil,oil,0.68
